window_start,window_end,sport,n_sessions_total,n_sessions_usable,total_duration_min,z1_total_min,z2_total_min,z3_total_min,z1_pct_weighted,z2_pct_weighted,z3_pct_weighted,work_total_min,work_n_blocks,work_longest_min,work_avg_z3_pct_weighted,zones_source_mix,intensity_category_mix,distribution_pattern,distribution_confidence,distribution_notes
2025-06-30,2025-07-06,trail_run,1,1,90.9,73.4,14.8,1.6,81.7,16.5,1.8,10.0,3,3.5,16.0,icu=1,work_intense=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-07-07,2025-07-13,bike,3,3,430.9,369.8,59.3,0.5,86.1,13.8,0.1,47.2,5,15.9,1.1,icu=3,easy=1;work_moderate=1;work_steady=1,pyramidal,high,
2025-07-07,2025-07-13,trail_run,1,1,155.7,100.1,48.2,3.6,65.9,31.7,2.4,21.7,5,6.3,10.0,icu=1,work_steady=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-07-14,2025-07-20,bike,1,1,181.1,131.9,46.2,2.7,73.0,25.6,1.5,39.7,4,24.2,4.0,icu=1,work_steady=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-07-14,2025-07-20,road_run,1,1,89.0,70.5,17.9,0.0,79.8,20.2,0.0,32.1,3,16.7,0.0,icu=1,work_steady=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
2025-07-14,2025-07-20,trail_run,1,1,127.3,80.2,37.5,7.6,64.0,29.9,6.1,37.5,6,13.9,19.0,icu=1,work_intense=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-07-21,2025-07-27,bike,3,3,706.6,659.7,45.9,0.6,93.4,6.5,0.1,42.2,4,21.1,1.5,icu=3,work_steady=1;work_moderate=1;easy=1,pyramidal,high,
2025-07-21,2025-07-27,trail_run,2,2,271.3,242.9,26.9,0.9,89.7,9.9,0.3,28.0,3,15.9,1.9,icu=2,work_steady=1;finish_strong=1,pyramidal,moderate,minimum_weekly_support
2025-07-28,2025-08-03,bike,1,1,109.2,64.0,43.1,1.7,58.8,39.6,1.6,33.6,4,13.9,0.0,icu=1,work_steady=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-07-28,2025-08-03,road_run,1,1,58.5,58.2,0.2,0.0,99.7,0.3,0.0,0.0,0,0.0,0.0,icu=1,finish_strong=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
2025-07-28,2025-08-03,trail_run,1,1,111.5,64.4,44.8,0.9,58.5,40.7,0.8,46.9,5,19.6,2.0,icu=1,work_steady=1,pyramidal,low,too_few_sessions;too_few_usable_sessions
2025-08-04,2025-08-10,bike,2,2,302.5,270.1,31.2,0.0,89.6,10.4,0.0,21.7,4,8.4,0.0,icu=2,easy=1;work_moderate=1,pyramidal,moderate,minimum_weekly_support
2025-08-04,2025-08-10,road_run,1,1,83.6,76.8,6.4,0.0,92.3,7.7,0.0,6.6,1,6.6,0.0,icu=1,work_moderate=1,pyramidal,low,too_few_sessions;too_few_usable_sessions;low_total_duration
